物性,機能,concern_content,location,mechanism,affected_parameters,affected_function
膜厚,内部クロスリーク抑制,膜の局所的な薄膜化,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,起動停止やガス偏在による機械的・化学的ストレス（膨張収縮、ラジカル分解、ピンホール生成）により、高分子鎖の切断や欠損が進行し、局所的に膜厚が低下。物質拡散バリアが弱まる。,電解質膜厚さ：減少,内部クロスリーク抑制機能低下（反応ガスの直通拡散・セルデグラデーション）
膜厚,内部クロスリーク抑制,ピンホール（貫通孔）の発生,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,局部的なストレス集中（例えば異物混入や極度の乾燥状態での機械的応力）で高分子骨格が物理的に破断し、微小な貫通孔（ピンホール）が生じる。これにより膜のガスバリア性が局所的に消失。,ピンホール数・サイズ：増加,内部クロスリーク抑制機能の喪失（セル電圧の急減、セル短絡リスク増大）
膜厚,内部クロスリーク抑制,高分子含水率の局所減少に伴うクラック,1. セル内部・微細構造層 ＞ 電解質膜（含水領域）,高温乾燥サイクルやガス交換速度の不均一により、膜内の含水領域での脱水が進行。これに伴う体積収縮応力で物理的なクラックが発生。結果として膜厚の実効値が低下。,クラック密度・幅：増加，含水率：減少,内部クロスリーク抑制機能の部分的喪失・ガスの直通路形成
膜厚,オーム損（膜抵抗）低減,膜の局所的な薄膜化,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,高温多湿環境下や起動停止時の機械的ストレス（圧縮荷重・膨張収縮）およびラジカル種による高分子骨格の分解・劣化が進行し、局所的に膜厚が減少（薄膜化・欠損）する。薄膜化部位は機械強度低下やイオン輸送経路の損失が発生しやすい。分子鎖の切断による体積収縮や連続性消失。,膜厚減少／薄膜化箇所の面積増大（μm、mm^2単位で設計値下方逸脱）,膜抵抗の局所的増大／オーム損増
膜厚,オーム損（膜抵抗）低減,膜ピンホール・貫通孔形成,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,膜厚が限界まで低下し、ガス透過や局所熱応力によって分子連続性が消失。ピンホールや貫通孔が形成されることで、イオン選択性低下・短絡路生成に直結する。電解質の部分的消失や物理的連続性の破壊が起因。,ピンホール・欠陥個数増加／有効導電パスの短絡度増加（気体クロスリーク量、SEM観察などで定量可）,オーム損増大およびセル電圧の急減／ガス短絡による機能喪失
EW値,オーム損（膜抵抗）低減,含水領域の収縮・細孔径減少・閉塞,1. セル内部・微細構造層 ＞ 電解質膜（含水領域）,EW値が低下すると高分子中の親水基密度が下がり、水分保持能が低下する。これにより吸水時の膨潤度が減少し、細孔構造の自由体積が小さくなり、水の透過経路が狭小化・閉塞することでプロトン移動の障害となる。,含水率・イオン伝導度（低下）,オーム損（膜抵抗）低減機能の劣化
EW値,オーム損（膜抵抗）低減,官能基（スルホン酸基）の脱離・分解,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,EW値が下がりすぎる、または局所の化学的ストレス（高温・酸化雰囲気、ラジカル種発生、乾燥繰返し）によって高分子鎖から官能基が脱離・分解され、陽イオン交換点が減少し水和数も減る。,イオン交換容量（低下）、含水率（低下）、膜厚（減少）,オーム損（膜抵抗）低減機能の長期安定性低下
EW値,オーム損（膜抵抗）低減,高分子鎖の架橋・硬化,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,EW値設計が不均一または熱・化学的ストレス下でラジカル反応が起こり、分子鎖間の架橋が進行。これにより柔軟性や吸水性が低下し、イオン移動経路が硬化・狭小化する。,プロトン伝導度（低下）、体積膨潤率（低下）,オーム損（膜抵抗）低減機能の劣化
EW値,オーム損（膜抵抗）低減,膜厚むら・局所薄膜化,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,EW値の設計むらや加水分解・分解により一部が顕著に薄膜化し、局所的な抵抗・絶縁特性がばらつく。これが大電流時のホットスポット発生の一因となる。,面内比抵抗の均一性（悪化）、最薄部厚み（減少）,オーム損（膜抵抗）低減機能のばらつき増大
分子構造・分子量,膜の化学的劣化抑制,分子鎖の切断（分子量減少）,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,電解質膜が強酸性・高温かつラジカル種（水酸化ラジカルや過酸化水素）存在下で分子鎖切断反応を受け、主鎖あるいは側鎖の分断が進行する。分子量の低下により連続した高分子ネットワークが失われやすくなる。,分子量の減少、耐酸化寿命の低下、引張強度の低下、膨潤度の上昇（膨潤率の増大）,膜の化学的耐久性・ガスバリア性・機械的健全性
