物性,機能,combined,result
膜厚,内部クロスリーク抑制,"1. 物性: 膜厚
2. 機能: 内部クロスリーク抑制","{
  ""concerns"": [
    {
      ""concern_content"": ""膜の局所的な薄膜化"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""起動停止やガス偏在による機械的・化学的ストレス（膨張収縮、ラジカル分解、ピンホール生成）により、高分子鎖の切断や欠損が進行し、局所的に膜厚が低下。物質拡散バリアが弱まる。"",
      ""affected_parameters"": ""電解質膜厚さ：減少"",
      ""affected_function"": ""内部クロスリーク抑制機能低下（反応ガスの直通拡散・セルデグラデーション）""
    },
    {
      ""concern_content"": ""ピンホール（貫通孔）の発生"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""局部的なストレス集中（例えば異物混入や極度の乾燥状態での機械的応力）で高分子骨格が物理的に破断し、微小な貫通孔（ピンホール）が生じる。これにより膜のガスバリア性が局所的に消失。"",
      ""affected_parameters"": ""ピンホール数・サイズ：増加"",
      ""affected_function"": ""内部クロスリーク抑制機能の喪失（セル電圧の急減、セル短絡リスク増大）""
    },
    {
      ""concern_content"": ""高分子含水率の局所減少に伴うクラック"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（含水領域）"",
      ""mechanism"": ""高温乾燥サイクルやガス交換速度の不均一により、膜内の含水領域での脱水が進行。これに伴う体積収縮応力で物理的なクラックが発生。結果として膜厚の実効値が低下。"",
      ""affected_parameters"": ""クラック密度・幅：増加，含水率：減少"",
      ""affected_function"": ""内部クロスリーク抑制機能の部分的喪失・ガスの直通路形成""
    }
  ]
}"
膜厚,オーム損（膜抵抗）低減,"1. 物性: 膜厚
2. 機能: オーム損（膜抵抗）低減","{
  ""concerns"": [
    {
      ""concern_content"": ""膜の局所的な薄膜化"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""高温多湿環境下や起動停止時の機械的ストレス（圧縮荷重・膨張収縮）およびラジカル種による高分子骨格の分解・劣化が進行し、局所的に膜厚が減少（薄膜化・欠損）する。薄膜化部位は機械強度低下やイオン輸送経路の損失が発生しやすい。分子鎖の切断による体積収縮や連続性消失。"",
      ""affected_parameters"": ""膜厚減少／薄膜化箇所の面積増大（μm、mm^2単位で設計値下方逸脱）"",
      ""affected_function"": ""膜抵抗の局所的増大／オーム損増""
    },
    {
      ""concern_content"": ""膜ピンホール・貫通孔形成"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""膜厚が限界まで低下し、ガス透過や局所熱応力によって分子連続性が消失。ピンホールや貫通孔が形成されることで、イオン選択性低下・短絡路生成に直結する。電解質の部分的消失や物理的連続性の破壊が起因。"",
      ""affected_parameters"": ""ピンホール・欠陥個数増加／有効導電パスの短絡度増加（気体クロスリーク量、SEM観察などで定量可）"",
      ""affected_function"": ""オーム損増大およびセル電圧の急減／ガス短絡による機能喪失""
    }
  ]
}"
EW値,オーム損（膜抵抗）低減,"1. 物性: EW値
2. 機能: オーム損（膜抵抗）低減","{
  ""concerns"": [
    {
      ""concern_content"": ""含水領域の収縮・細孔径減少・閉塞"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（含水領域）"",
      ""mechanism"": ""EW値が低下すると高分子中の親水基密度が下がり、水分保持能が低下する。これにより吸水時の膨潤度が減少し、細孔構造の自由体積が小さくなり、水の透過経路が狭小化・閉塞することでプロトン移動の障害となる。"",
      ""affected_parameters"": ""含水率・イオン伝導度（低下）"",
      ""affected_function"": ""オーム損（膜抵抗）低減機能の劣化""
    },
    {
      ""concern_content"": ""官能基（スルホン酸基）の脱離・分解"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""EW値が下がりすぎる、または局所の化学的ストレス（高温・酸化雰囲気、ラジカル種発生、乾燥繰返し）によって高分子鎖から官能基が脱離・分解され、陽イオン交換点が減少し水和数も減る。"",
      ""affected_parameters"": ""イオン交換容量（低下）、含水率（低下）、膜厚（減少）"",
      ""affected_function"": ""オーム損（膜抵抗）低減機能の長期安定性低下""
    },
    {
      ""concern_content"": ""高分子鎖の架橋・硬化"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""EW値設計が不均一または熱・化学的ストレス下でラジカル反応が起こり、分子鎖間の架橋が進行。これにより柔軟性や吸水性が低下し、イオン移動経路が硬化・狭小化する。"",
      ""affected_parameters"": ""プロトン伝導度（低下）、体積膨潤率（低下）"",
      ""affected_function"": ""オーム損（膜抵抗）低減機能の劣化""
    },
    {
      ""concern_content"": ""膜厚むら・局所薄膜化"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""EW値の設計むらや加水分解・分解により一部が顕著に薄膜化し、局所的な抵抗・絶縁特性がばらつく。これが大電流時のホットスポット発生の一因となる。"",
      ""affected_parameters"": ""面内比抵抗の均一性（悪化）、最薄部厚み（減少）"",
      ""affected_function"": ""オーム損（膜抵抗）低減機能のばらつき増大""
    }
  ]
}"
分子構造・分子量,膜の化学的劣化抑制,"1. 物性: 分子構造・分子量
2. 機能: 膜の化学的劣化抑制","{
  ""concerns"": [
    {
      ""concern_content"": ""分子鎖の切断（分子量減少）"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""電解質膜が強酸性・高温かつラジカル種（水酸化ラジカルや過酸化水素）存在下で分子鎖切断反応を受け、主鎖あるいは側鎖の分断が進行する。分子量の低下により連続した高分子ネットワークが失われやすくなる。"",
      ""affected_parameters"": ""分子量の減少、耐酸化寿命の低下、引張強度の低下、膨潤度の上昇（膨潤率の増大）"",
      ""affected_function"": ""膜の化学的耐久性・ガスバリア性・機械的健全性""
    },
    {
      ""concern_content"": ""高分子骨格のクロスリンク構造消失"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""分岐点やクロスリンク構造が酸化分解・加水分解などの化学プロセスを経て消失し、ネットワーク強度と結合密度が大きく低下するため、膜の寸法安定性や機械的強度が損なわれる。"",
      ""affected_parameters"": ""クロスリンク密度の低下、ヤング率の低下、耐クリープ性の低下"",
      ""affected_function"": ""膜の寸法安定性維持・機械的強度""
    },
    {
      ""concern_content"": ""官能基の脱離・損耗（イオン交換基の消失）"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""強酸性環境下でスルホン酸基（－SO3H）やその他のイオン交換基が加水分解・酸化分解され、骨格から脱離することによりイオン伝導パスが消失しプロトン導電率が顕著に低下する。"",
      ""affected_parameters"": ""官能基数密度の減少、プロトン伝導率の低下、IEC（イオン交換容量）の低下"",
      ""affected_function"": ""膜のプロトン伝導性・膜抵抗の悪化""
    }
  ]
}"
分子構造・分子量,耐振動・耐衝撃性,"1. 物性: 分子構造・分子量
2. 機能: 耐振動・耐衝撃性","{
  ""concerns"": [
    {
      ""concern_content"": ""分子鎖切断"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""高分子電解質膜が機械的振動・衝撃反復下で応力集中点に局所的な分子鎖配向・伸長が生じ、繰り返し応力によって分子鎖切断（分子量劣化）が発生する。これによりネットワーク構造が不完全となる。"",
      ""affected_parameters"": ""分子量の低下、平均鎖長の減少、テンシル強度の低下"",
      ""affected_function"": ""セル内発電部位の機械的強度・寸法安定性低下により、積層体の密閉性や耐振動性の損失""
    },
    {
      ""concern_content"": ""結晶―非晶界面でのマイクロクラック"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""分子量低下や構造劣化により電解質高分子の結晶性が局所的に損なわれ、繰り返し振動によって結晶域と非晶域の界面に応力集中。界面剥離や微細クラックが集積する。"",
      ""affected_parameters"": ""クラック密度・分布、伸び率の低下"",
      ""affected_function"": ""ガス・水素クロスリーク、耐衝撃性の低下""
    },
    {
      ""concern_content"": ""カーボン担体表面の微細孔崩壊"",
      ""location"": ""1. セル内部・微細構造層 ＞ 触媒層（カーボン担体）"",
      ""mechanism"": ""触媒層のカーボン担体は分子量の低下や結合劣化により多孔構造が脆弱化し、振動加重下で微細孔がつぶれやすくなる。"",
      ""affected_parameters"": ""比表面積の低下、細孔径の変化、空隙率の減少"",
      ""affected_function"": ""ガス拡散・比表面積維持機能低下による触媒性能劣化""
    },
    {
      ""concern_content"": ""MEAM界面でのデラミネーション"",
      ""location"": ""2. 部材間界面 ＞ 電解質膜 / 触媒層 界面"",
      ""mechanism"": ""分子構造の均一性低下や分子量劣化に起因し、膜－触媒界面親和性・密着性が低下。外的な振動・衝撃で界面剥離（デラミネーション）が進展する。"",
      ""affected_parameters"": ""界面付着強度の低下、剥離面積の増大"",
      ""affected_function"": ""電気化学反応領域の短絡・ガスリーク発生、セル抵抗増大、耐衝撃性の喪失""
    }
  ]
}"
プロトン移動特性,オーム損（膜抵抗）低減,"1. 物性: プロトン移動特性
2. 機能: オーム損（膜抵抗）低減","{
  ""concerns"": [
    {
      ""concern_content"": ""高分子骨格の架橋密度低下によるプロトン伝導経路の寸断（断絶）"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""高温・高湿環境や化学的劣化（ラジカル発生、加水分解など）により高分子鎖間架橋や側鎖切断が発生し、連続したプロトン伝導経路が部分的に喪失される。これにより、局所的にプロトン伝導性が著しく低下、オーム抵抗が増加する。"",
      ""affected_parameters"": ""膜内抵抗値（Ω・cm²）が増大"",
      ""affected_function"": ""オーム損低減機能（低抵抗維持）""
    },
    {
      ""concern_content"": ""含水領域の脱水によるプロトン伝導経路の細化・断裂"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（含水領域）"",
      ""mechanism"": ""低加湿、起動・停止サイクル、局所乾燥等により膜内部の含水率が低下し、水和クラスタが破壊され、Grotthuss型プロトン伝導経路が寸断される。これにより、プロトン伝導度が著しく低下し、膜抵抗が増大する。"",
      ""affected_parameters"": ""膜含水率が低下・プロトン伝導度（S/cm）が低下・膜抵抗値が増大"",
      ""affected_function"": ""オーム損低減機能""
    },
    {
      ""concern_content"": ""アイオノマーネットワークの物理的収縮・膨潤による伝導経路寸断・膨潤不均一性"",
      ""location"": ""1. セル内部・微細構造層 ＞ 触媒層（アイオノマーネットワーク）"",
      ""mechanism"": ""高湿・乾湿サイクルによる膨潤収縮ストレスでアイオノマー構造が局所的に破断・脱離し、触媒層内のプロトン移動経路が寸断される。部分的に接触抵抗が増大、またはアイオノマー薄膜化・断裂が起こる。"",
      ""affected_parameters"": ""触媒層内プロトン伝導抵抗値が増大・局所アイオノマー分布異常"",
      ""affected_function"": ""オーム損低減機能""
    }
  ]
}"
ガス透過性,内部クロスリーク抑制,"1. 物性: ガス透過性
2. 機能: 内部クロスリーク抑制","{
  ""concerns"": [
    {
      ""concern_content"": ""高分子骨格の微細孔・疎水性領域におけるガス透過路の形成・拡大（ガス透過経路の形成）"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""高温・高湿・電位勾配下で、電解質高分子鎖の鎖切断や架橋解重合が進行し、分子密度の局所的な低下や自由体積の拡大が起こる。これによりガス種（H2, O2）の分子運動が促進され、非意図的なガス透過経路が発生する。特にクラックやナノボイド形成により急激なガスリークが発生する。"",
      ""affected_parameters"": ""ガス透過度・漏洩流量：増大"",
      ""affected_function"": ""内部クロスリーク抑制不全""
    },
    {
      ""concern_content"": ""電解質膜/触媒層界面部での層間剥離・隙間の生成"",
      ""location"": ""2. 部材間界面 ＞ 電解質膜 / 触媒層 界面"",
      ""mechanism"": ""起動停止時の膨張収縮サイクル・水分蒸発の繰返しで、異種材料間の界面応力が蓄積され、層間密着力が低下することで微小な剥離や隙間が形成し局所的にバリア機能が低下、ガス分子が界面リークする経路となる。"",
      ""affected_parameters"": ""界面隙間寸法・剥離面積：増大"",
      ""affected_function"": ""内部クロスリーク抑制不全""
    },
    {
      ""concern_content"": ""炭素繊維基材内のピンホール・亀裂形成によるガスバイパス路の出現"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層（炭素繊維基材）"",
      ""mechanism"": ""サイクル繰返しや加圧による機械的応力集中、加湿制御不良による膨潤収縮ストレス、または腐食性雰囲気により炭素繊維間の結合が劣化し、ピンホールやミクロクラックが形成することでガスが急速に拡散層をバイパスする経路が生じる。"",
      ""affected_parameters"": ""ガスバリア性（気密度）：低下"",
      ""affected_function"": ""内部クロスリーク抑制不全""
    }
  ]
}"
補強材の有無/種類,耐振動・耐衝撃性,"1. 物性: 補強材の有無/種類
2. 機能: 耐振動・耐衝撃性","{
  ""concerns"": [
    {
      ""concern_content"": ""割れ（クラック）発生"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""補強材が適切に配置されていない場合や補強材自体が脆弱な場合、起動/停止や運転中の振動・外部衝撃による繰返し応力が電解質膜の分子鎖配列に局所的な応力集中を招き、膜断面や端部に亀裂が発生。補強材が無い、もしくは種別・配置が不十分である場合、膜の塑性変形許容量が低下し、機械的な歪みを吸収しきれず不可逆的なクラックとして顕在化する。"",
      ""affected_parameters"": ""破断強度の低下、膜伸び率の減少、ヤング率の変化"",
      ""affected_function"": ""耐振動・耐衝撃機能低下によるセル寿命短縮""
    },
    {
      ""concern_content"": ""層間剥離（デラミネーション）"",
      ""location"": ""2. 部材間界面 ＞ 電解質膜 / 触媒層 界面"",
      ""mechanism"": ""振動や衝撃の繰返し荷重により、補強材による剛性の違いが電解質膜と触媒層の界面に剪断応力を発生させ、樹脂−補強材界面もしくは膜−触媒層界面で層間剥離が生じる。特に補強材の種類・界面設計が不適切な場合、界面の付着強度が劣化しやすい。"",
      ""affected_parameters"": ""界面付着強度の低下、界面抵抗の増加"",
      ""affected_function"": ""外力時の積層体構造健全性の悪化、ガスリーク進展""
    },
    {
      ""concern_content"": ""細孔構造の破壊（微細内部剥離や孔径拡大）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層（炭素繊維基材）"",
      ""mechanism"": ""補強材の種類によって繊維間の機械的結合力や硬さが変化し、振動や衝撃荷重が局所的に集中することで基材内部の細孔構造が圧壊または繊維束の間で微細な剥離が進む。これによりガス拡散層の流路径や空隙率が不可逆的に変化する。"",
      ""affected_parameters"": ""空隙率の減少、孔径分布の偏り、厚みムラの増大"",
      ""affected_function"": ""ガス輸送経路の閉塞・ばらつきによる発電の安定性低下""
    }
  ]
}"
補強材の有無/種類,膜の膨潤圧制御,"1. 物性: 補強材の有無/種類
2. 機能: 膜の膨潤圧制御","{
  ""concerns"": [
    {
      ""concern_content"": ""塑性変形・不均一膨潤（塑性的な寸法変化）"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）"",
      ""mechanism"": ""膜への補強材が不十分、もしくは補強形状に偏りがある場合、膜内部に水分が浸透した際に、膨潤挙動が補強の有無・分布によって局所的に抑制／非抑制される。その結果、補強不在部では高分子鎖の可動範囲が増大し、局所的な塑性変形や応力が集中する。高分子鎖に沿った膨潤が進行し、不均一な応力分布が生じる。"",
      ""affected_parameters"": ""膨潤圧（増加・局所最大化）、寸法変化量（増加）"",
      ""affected_function"": ""膜の寸法安定性、スタック内押し圧バランス""
    },
    {
      ""concern_content"": ""界面剥離・クラック発生（補強材界面）"",
      ""location"": ""2. 部材間界面 ＞ 電解質膜 / 触媒層 界面"",
      ""mechanism"": ""補強材が高分子骨格内に存在し、その補強材と周辺ポリマー材料間の密着・相溶性が不十分な場合、湿潤時の反復膨潤・収縮ストレスが界面に集中する。分子レベルでの応力伝達不良により、界面に微小なクラックや剥離が発生する。"",
      ""affected_parameters"": ""界面密着強度（低下）、クラック長さ/個数（増加）"",
      ""affected_function"": ""ガスバリア性・リーク抑制能力""
    },
    {
      ""concern_content"": ""細孔閉塞・流体輸送不均一"",
      ""location"": ""1. セル内部・微細構造層 ＞ 電解質膜（含水領域）"",
      ""mechanism"": ""補強材の種類・分布による親水性・親水パスの非均一化により、一部領域で流体（水やガス）の動的経路が阻害され、局所的な細孔の閉塞や含水異常を誘発する。イオン伝導経路の偏りやガス透過の不均一性が顕著になる。"",
      ""affected_parameters"": ""含水率分布（局所過飽和/乾燥）、細孔径分布（閉塞化）"",
      ""affected_function"": ""イオン伝導均一性、ガス透過安定性""
    }
  ]
}"
白金(Pt)担持量,触媒反応活性の維持,"1. 物性: 白金(Pt)担持量
2. 機能: 触媒反応活性の維持","{
  ""concerns"": [
    {
      ""concern_content"": ""白金粒子の溶出・移動による表面積の減少（粗大化・凝集）"",
      ""location"": ""1. セル内部・微細構造層 ＞ 触媒層・白金粒子表面"",
      ""mechanism"": ""高温多湿・強酸性雰囲気および電位サイクル（昇降負荷運転）下で、白金が酸化・還元を繰り返すことで溶出し、粒子間で再析出または集積（Ostwald ripening、粒子成長）が進む。これにより、白金のナノ粒子が凝集・粗大化し、比表面積が低下する。"",
      ""affected_parameters"": ""白金比表面積の減少、粒径分布の増大"",
      ""affected_function"": ""O2還元反応活性の低下（発電性能低下）""
    },
    {
      ""concern_content"": ""白金の担体からの脱落・流出"",
      ""location"": ""1. セル内部・微細構造層 ＞ 触媒層・カーボン担体"",
      ""mechanism"": ""セルの長期運転中、カーボン担体の腐食や液相移動を伴う洗い流しが生じると、白金粒子が担体から脱離・逸脱する現象が起こる。これにより触媒層内の活性点が減少。"",
      ""affected_parameters"": ""触媒層中の白金担持量の減少（ppm単位、面積あたりmgPt/cm2の低下）"",
      ""affected_function"": ""触媒反応サイト総数の減少（初期活性の大幅低下）""
    },
    {
      ""concern_content"": ""白金粒子の表面被毒・被覆（酸不純物や硫黄系ガス吸着）"",
      ""location"": ""1. セル内部・微細構造層 ＞ 触媒層・白金粒子表面"",
      ""mechanism"": ""反応ガス中に極微量含まれる硫黄化合物やアニオン性不純物が白金表面に選択吸着し、化学吸着による被覆状態を形成。触媒表面の有効活性面積が不可逆的に減少。"",
      ""affected_parameters"": ""Ptの有効表面積（ECSA）が低下"",
      ""affected_function"": ""酸素還元反応（ORR）活性の低下""
    },
    {
      ""concern_content"": ""白金の析出物によるイオノマークロギング・細孔閉塞"",
      ""location"": ""1. セル内部・微細構造層 ＞ 触媒層・アイオノマーネットワーク"",
      ""mechanism"": ""溶け出した白金がイオノマー中に再析出し、イオノマー細孔部や界面で沈着。ガス拡散やプロトン伝導の経路を物理的に閉塞し局所反応活性を阻害する。"",
      ""affected_parameters"": ""細孔径分布の減少、有効伝導経路長の増加"",
      ""affected_function"": ""O2供給・プロトン輸送の局所障害（発電性能局所低下）""
    }
  ]
}"
